Lat,Long,Value
41.9000122264,12.4478083889,832
43.9171500845,12.4666702867,29579
47.1337237743,9.51666947291,36281
-26.4666674614,31.1999971097,9782
49.6116603791,6.13000280623,107260
6.91664369601,158.149974324,4645
7.10300431122,171.380000176,25400
-8.51665199904,179.216647094,4749
7.48739617298,134.626548467,7026
26.119166686,-9.65252221825,500
43.7396456879,7.40691317347,36371
1.33818750562,173.017570829,28802
-11.7041576957,43.2402440987,128698
42.5000014435,1.51648596051,53998
10.6519970896,-61.5170308854,294934
-1.95359006868,30.0605317777,860000
-26.3166507784,31.1333345121,90138
4.82997519828,31.5800255928,111975
52.080036844,4.26996130231,1406000
46.0552883088,14.5149690335,314807
48.15001833,17.1169807522,423737
25.2865560089,51.5329678943,1450000
42.4659725129,19.2663069241,145850
6.90000388481,79.9499930409,115826
16.4299906606,120.569942585,447824
-6.18330605177,35.7500036201,218269
46.9166827587,7.46697546248,275329
27.1499823191,-13.2000059422,188084
42.6667096141,21.1659842516,465186
15.3010156443,-61.3870129818,23336
11.5950144643,43.1480016671,923000
2.91401979462,101.70194698,67964
35.0299922882,135.749997924,1805000
13.4538764603,-16.5917014892,43094
42.0000061229,21.4334614651,494087
13.1020025828,-59.6165267351,191152
6.48331097302,2.61662552757,300000
-3.37608722037,29.3600060615,331700
13.1482788279,-61.2120624203,49485
14.0019734893,-61.0000081804,37963
17.3020304555,-62.7170093197,21887
-20.1666385714,57.4999938546,595491
12.0526334017,-61.7416432261,33734
26.2361362905,50.5830517159,563920
17.1180365183,-61.8500338151,35499
-34.8580415662,-56.1710522884,1513000
6.13193707166,1.22275711936,1452000
36.8027781362,10.1796780992,2412500
24.4666835724,54.3665933826,603492
37.9499949331,58.3832991118,727700
-15.4166442679,28.2833275947,1328000
-17.8177896944,31.0447094307,1572000
-8.55938840855,125.579455932,234331
-17.733350404,168.316640584,44040
14.1020449005,-87.2175293393,946000
6.80197369275,-58.1670286475,264350
64.1500236197,-21.9500144872,166212
18.5410245961,-72.3360345883,1998000
0.31665895477,32.5833235257,1420000
5.83503012992,-55.1670308854,254169
13.5167059519,2.11665604514,915000
38.5600352163,68.7738793527,1086244
-25.2964029757,-57.6415051693,1870000
12.1530165801,-86.2684916603,920000
8.47001141249,-13.2342157404,827000
33.6999959503,73.1666344797,780000
27.7166919139,85.3166422108,895000
-29.1199938774,26.2299128812,463064
-25.7069205538,28.2294290758,1338000
-9.46470782587,147.192503621,283733
-9.43799429509,159.949765734,76328
8.96801719048,-79.5330371518,1281000
34.0252990916,-6.83613082013,1705000
47.0050236197,28.8577111397,688134
-25.9552774874,32.5891629626,1446000
2.06668133433,45.3666776111,1100000
23.6133248077,58.5933121326,734697
6.93196575818,79.8577506093,217000
47.9166733999,106.916615762,885000
-22.5700060844,17.0835461005,268132
9.08333314914,7.53332800155,1576000
11.865023823,-15.5983608413,403339
31.9500252472,35.9332999255,1060000
54.6833663118,25.3166352933,542366
56.9500238232,24.0999653714,742572
42.8730794465,74.5852042225,837000
-29.3166743787,27.48327307,361324
-18.9166373506,47.5166239001,1697000
-0.21498818065,-78.5000511085,1701000
9.93501242974,-84.0840513527,1284000
13.7100016469,-89.2030412208,1433000
17.9770766238,-76.7674337137,937700
12.1130965362,15.0491483141,989000
3.75001527803,8.78327754582,155963
15.3333392527,38.9333235258,620802
45.8000067333,15.9999946682,722526
59.4338773795,24.7280407295,394024
-13.9832950655,33.78330196,646750
14.6211346628,-90.5269655779,1024000
0.38538860972,9.45796504582,578156
-18.1330159314,178.441707315,175399
-33.0477644666,-71.6210136329,854000
18.0864270212,-15.9753404149,742144
12.6500146677,-8.00003910464,1494000
33.871975117,35.50970821,1846000
41.7250099885,44.7907954496,1100000
51.1811253043,71.4277742095,345604
17.9666927276,102.59998002,754000
-4.25918577181,15.2846894925,1355000
9.53152284641,-13.6802350275,1494000
6.81838096,-5.27550256491,206499
45.4166967967,-75.7000153012,1145000
44.8186454458,20.4679906806,1099000
4.88333111462,114.933284057,296500
-19.0409708467,-65.2595156267,224838
17.2520335072,-88.7670729998,15220
4.36664430635,18.5582881253,831925
3.86670066214,11.5166507555,1611000
41.3275407095,19.8188830146,895350
40.1811507355,44.5135513904,1102000
40.3952720327,49.8622171619,2122300
11.5500301299,104.91663448,1466000
-16.4979736137,-68.1499851905,1590000
6.40000856417,2.51999059918,762000
42.6833494253,23.3166540107,1185000
53.8999774364,27.5666271553,1805000
27.4729858592,89.639014037,98676
-24.6463134574,25.9119477933,208411
-35.2830285454,149.129026244,327700
12.3703159779,-1.5247237563,1149000
43.850022399,18.383001667,696731
19.7665570261,96.1186185292,930000
-21.1385123567,-175.220564478,42620
9.56002239882,44.0653100167,477876
-4.61663165397,55.4499897856,33576
0.33340211883,6.73332515323,88219
-13.8415450424,-171.738641609,61916
35.8997324819,14.5147106513,368250
4.16670818981,73.499947468,112927
31.7784078156,35.2066259346,1029300
14.9166980173,-23.516688885,113364
25.0833901154,-77.3500437843,227940
35.1666764517,33.3666348864,224300
-41.29998785369,174.78326585928,393400
21.0333272491,105.8500142,4378000
39.9272385855,32.864391641,3716000
47.5000063264,19.0833206774,1679000
15.3547332957,44.2065933826,2008000
44.4333718049,26.099946654,1942000
33.5000339956,36.299995889,2466000
38.7227228779,-9.14486630549,2812000
15.5880782257,32.5341792386,4754000
59.9166902864,10.749979206,835000
52.2500006298,20.9999995511,1707000
39.0194386994,125.754690714,3300000
-6.80001259474,39.2683418363,2930000
53.333061136,-6.24890568178,1059000
6.31055665987,-10.8047516291,1041000
3.1666658721,101.699983275,1448000
23.1319588409,-82.3641821713,2174000
50.0833370149,14.4659797757,1162000
29.36971763,47.9783011462,2063000
18.4700728546,-69.9000850847,2154000
5.55003460583,-0.21671574035,2121000
32.8925000194,13.1800117581,2189000
32.0799914744,34.7700117582,3112000
60.175563374,24.9341263415,1115000
55.6785641904,12.5634857473,1085000
5.31999696749,-4.04004825989,3802000
-15.7833402315,-47.9160522884,3716996
50.8333170767,4.3333166083,1743000
23.7230597117,90.4085794667,12797394
-8.83828611363,13.2344270413,5172900
36.763064798,3.05055252952,3354000
16.7833541046,96.1666776113,4088000
37.7400077505,-122.459977663,3450000
39.7391880484,-104.984015952,2313000
29.8199743846,-95.3399792905,4459000
25.7876106964,-80.2241060808,5585000
33.830013854,-84.3999493833,4506000
41.8299906607,-87.7500549741,8990000
10.5009985544,-66.9170371924,2985000
50.433367329,30.5166279691,2709000
25.2299961538,55.2799743234,1379000
41.311701883,69.2949328195,2184000
40.4000262645,-3.683351686,5567000
46.2100075471,6.14002803409,1240000
59.3507599543,18.0973347328,1264000
13.7499992055,100.516644652,6704000
-12.0480126761,-77.0500620948,8012000
14.715831725,-17.4731301284,2604000
-26.17004474,28.0300097236,3435000
52.3499686881,4.91664017601,1031000
33.5999762156,-7.61636743309,3181000
37.5663490998,126.999730997,9796000
14.6041589548,120.982217162,11100000
25.6699951365,-100.329984784,3712000
52.5218186636,13.4015486233,3406000
43.8050122264,87.5750056549,2151000
30.6700000193,104.07001949,4123000
34.7500352163,135.460144815,11294000
-4.32972410189,15.3149718818,7843000
28.6000230092,77.1999800201,317797
12.9699951365,77.5600097238,6787000
37.9833262319,23.7333210843,3242000
33.3386484975,44.3938687732,5054000
9.03331036268,38.700004434,3100000
35.6719427684,51.4243440336,7873000
49.2734165841,-123.121644218,2313328
43.6999798778,-79.4200207944,5213000
-34.6025016085,-58.3975313737,12795000
34.5166902863,69.1832600493,3277000
48.2000152782,16.3666389554,2400000
-37.8200313123,144.975016235,4170000
25.03583333333,121.56833333333,6900273
-36.84805489493,174.76302698708,1377200
33.9899782502,-118.179980511,12500000
38.8995493765,-77.0094185808,4338000
40.749979064,-73.9800169288,19040000
51.4999947297,-0.11672184386,8567000
41.1049961538,29.0100015856,10061000
24.6408331492,46.7727416573,4465000
-33.9200109672,18.4349881578,3215000
55.7521641226,37.6155228259,10452000
19.4424424428,-99.1309882017,19028000
6.44326165348,3.39153107121,9466000
41.8959556265,12.4832584215,3339000
39.9288922313,116.388285684,11106000
-1.28334674185,36.8166568591,3010000
-6.17441770541,106.829437621,9125000
4.59642356253,-74.0833439552,7772000
30.0499603465,31.2499682197,11893000
31.2164524526,121.436504678,14987000
35.6850169058,139.751407429,35676000
19.0169903757,72.8569892974,18978000
48.8666929312,2.33333532574,9904000
-33.4500138155,-70.6670408546,5720000
22.4949692983,88.3246756581,14787000
-22.9250231742,-43.2250207942,11748000
-23.558679587,-46.6250199804,18845000
-33.9200109672,151.185179809,4630000
1.29303346649,103.855820678,5183700
22.304980895,114.185009317,7206000